date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
2017-09-07,2017,0,0,NE,KC,1687.39515418986,1613.14895156915,0.6903092733781301,27,42,0
2017-09-10,2017,0,0,DET,ARI,1500.73211234067,1536.82159349085,0.5415098192674165,35,23,1
2017-09-10,2017,0,0,CLE,PIT,1335.76766004235,1598.85291139428,0.2422707246998761,18,21,0
2017-09-10,2017,0,0,CHI,ATL,1383.93471551954,1617.20456993582,0.2751518323702045,17,23,0
2017-09-10,2017,0,0,CIN,BAL,1515.96963836647,1491.09956653729,0.6265240896346215,0,20,0
2017-09-10,2017,0,0,BUF,NYJ,1484.12768300401,1451.56552552459,0.6368256574879062,21,12,1
2017-09-10,2017,0,0,TEN,OAK,1459.7151216689,1529.85159039811,0.4926085657911281,16,26,0
2017-09-10,2017,0,0,HOU,JAX,1502.13900825029,1381.98420059502,0.7438043748839345,7,29,0
2017-09-10,2017,0,0,WSH,PHI,1504.45790366463,1511.09719571559,0.5832066967999825,17,30,0
2017-09-10,2017,0,0,LAR,IND,1398.79345782117,1513.71213747943,0.4286515251383718,46,9,1
2017-09-10,2017,0,0,GB,SEA,1586.7223860048,1570.90159111721,0.6142569599664698,17,9,1
2017-09-10,2017,0,0,SF,CAR,1353.45953309689,1526.87716569192,0.34884907740475496,3,23,0
2017-09-10,2017,0,0,DAL,NYG,1569.47208283577,1530.43602575819,0.6453999540964147,19,3,1
2017-09-11,2017,0,0,MIN,NO,1498.17461262799,1498.26070350611,0.5923465675721757,29,19,1
2017-09-11,2017,0,0,DEN,LAC,1555.53296643431,1437.04615616677,0.7419703889039677,24,21,1
2017-09-14,2017,0,0,CIN,HOU,1476.19553184304,1451.20876792212,0.6266812563457278,9,13,0
2017-09-17,2017,0,0,CAR,BUF,1547.12110615391,1500.14228886709,0.6557929816608513,9,3,1
2017-09-17,2017,0,0,NO,NE,1479.27082034836,1646.52975669258,0.3569447228847974,20,36,0
2017-09-17,2017,0,0,JAX,TEN,1432.91444092319,1436.14567560873,0.5879675365901478,16,37,0
2017-09-17,2017,0,0,PIT,MIN,1605.01523432686,1517.16449578574,0.7067972664987885,26,9,1
2017-09-17,2017,0,0,BAL,CLE,1530.87367306072,1329.60533710977,0.8224103244171534,24,10,1
2017-09-17,2017,0,0,IND,ARI,1471.18049528782,1513.60658341342,0.5324408339725676,13,16,0
2017-09-17,2017,0,0,KC,PHI,1654.01434906643,1542.71834695131,0.733966542862891,27,20,1
2017-09-17,2017,0,0,TB,CHI,1505.56497071489,1373.98715289096,0.7561327400790052,29,7,1
2017-09-17,2017,0,0,OAK,NYJ,1553.42103645828,1435.55091966151,0.7412901618091522,45,20,1
2017-09-17,2017,0,0,LAC,MIA,1430.44279687557,1508.51933075935,0.4811902359232221,17,19,0
2017-09-17,2017,0,0,LAR,WSH,1441.32510001278,1472.83675242891,0.5480449112837863,20,27,0
2017-09-17,2017,0,0,SEA,SF,1554.55097735575,1333.2155926349,0.8386583127727101,12,9,1
2017-09-17,2017,0,0,DEN,DAL,1562.13632572551,1588.65795167924,0.5551495370502262,42,17,1
2017-09-17,2017,0,0,ATL,GB,1627.1521325644,1603.07299976626,0.6254581108113659,34,23,1
2017-09-18,2017,0,0,NYG,DET,1511.25015691472,1523.9471224181,0.5747066251401693,10,24,0
2017-09-21,2017,0,0,SF,LAR,1329.25741740479,1418.18024243761,0.465626592388089,39,41,0
2017-09-24,2017,1,0,JAX,BAL,1395.51575651439,1539.4536629123,0.30394684530232496,44,7,1
2017-09-24,2017,0,0,NYJ,MIA,1419.98663381241,1519.0296885912,0.4511642936781934,20,6,1
2017-09-24,2017,0,0,MIN,TB,1501.31629300764,1519.60346869271,0.5668229919158423,34,17,1
2017-09-24,2017,0,0,IND,CLE,1456.2650553972,1321.02534725819,0.7599987063306345,31,28,1
2017-09-24,2017,0,0,CHI,PIT,1359.94865491314,1620.86343710496,0.24457173940541033,23,17,1
2017-09-24,2017,0,0,CAR,NO,1559.86820431743,1459.94318365896,0.7209914264444628,13,34,0
2017-09-24,2017,0,0,BUF,DEN,1487.39519070357,1590.62536269073,0.4452033366198632,26,16,1
2017-09-24,2017,0,0,NE,HOU,1665.85739338198,1472.24114840773,0.8158852891560231,36,33,1
2017-09-24,2017,0,0,DET,ATL,1555.83184095078,1645.04180320981,0.46521534510816925,26,30,0
2017-09-24,2017,0,0,PHI,NYG,1532.47515967278,1479.36543838204,0.663715085530082,27,24,1
2017-09-24,2017,0,0,TEN,SEA,1473.54436001753,1558.50915258586,0.4712999364426817,33,27,1
2017-09-24,2017,0,0,LAC,KC,1419.93243904372,1664.25753634496,0.26264265835905953,10,24,0
2017-09-24,2017,0,0,GB,CIN,1585.18332912085,1455.16315135743,0.7544755589296178,27,24,1
2017-09-24,2017,0,0,WSH,OAK,1495.98161000408,1568.98532230738,0.48848376918112546,27,10,1
2017-09-25,2017,0,0,ARI,DAL,1528.52202330404,1560.16891471402,0.5478520765419015,17,28,0
2017-09-28,2017,0,0,GB,CHI,1591.43640483965,1392.22263321951,0.8206763773931867,35,14,1
2017-10-01,2017,1,0,MIA,NO,1488.83699038505,1508.12768090446,0.4722669574594874,0,20,0
2017-10-01,2017,0,0,MIN,DET,1525.83650466024,1541.02013253791,0.5712042344329367,7,14,0
2017-10-01,2017,0,0,NYJ,JAX,1450.17933201856,1449.69989157189,0.5931324334216449,23,20,1
2017-10-01,2017,0,0,NE,CAR,1670.42518072269,1511.68370707193,0.7838016054741375,30,33,0
2017-10-01,2017,0,0,DAL,LAR,1587.81527279565,1428.30105058126,0.7845544475430118,30,35,0
2017-10-01,2017,0,0,CLE,CIN,1314.92622836033,1448.91007563863,0.40200858681426394,7,31,0
2017-10-01,2017,0,0,BAL,PIT,1485.2695278548,1588.58945879859,0.44507571817786123,9,26,0
2017-10-01,2017,0,0,ATL,BUF,1659.85351162268,1514.47261045787,0.770484649388874,17,23,0
2017-10-01,2017,0,0,HOU,TEN,1467.67336106702,1494.30885221605,0.554987659581259,57,14,1
2017-10-01,2017,0,0,TB,NYG,1495.08325704011,1470.51669642621,0.6261151805930673,25,23,1
2017-10-01,2017,0,0,ARI,SF,1500.87566522241,1319.13660926114,0.8053923673491331,18,15,1
2017-10-01,2017,0,0,LAC,PHI,1406.77955875757,1541.32390162861,0.40123319624869036,24,26,0
2017-10-01,2017,0,0,DEN,OAK,1563.54794293643,1539.30791303221,0.6256750570191123,16,10,1
2017-10-01,2017,0,0,SEA,IND,1537.74466038733,1462.36417429506,0.6917034196509914,46,18,1
2017-10-02,2017,0,0,KC,WSH,1677.41041663111,1525.65901927925,0.7769051651795047,29,20,1
2017-10-05,2017,0,0,TB,NE,1502.9769765001,1646.2332502731,0.38924680862587396,14,19,0
2017-10-08,2017,0,0,IND,SF,1442.84703381068,1314.28506108432,0.7529172974731472,26,23,1
2017-10-08,2017,0,0,MIA,TEN,1460.33040329945,1461.20589357261,0.5912488237474887,16,10,1
2017-10-08,2017,0,0,PHI,ARI,1549.86975257963,1505.72721339922,0.6520982116344604,34,7,1
2017-10-08,2017,0,0,NYG,LAC,1462.62297696622,1398.23370780655,0.6780499406995896,22,27,0
2017-10-08,2017,0,0,CLE,NYJ,1289.83275234741,1461.13404691943,0.35162147199775384,14,17,0
2017-10-08,2017,0,0,PIT,JAX,1613.8776706396,1438.74517667102,0.7993623419648759,9,30,0
2017-10-08,2017,0,0,CIN,BUF,1474.00355165155,1547.62917373767,0.4875892816850093,20,16,1
2017-10-08,2017,0,0,DET,CAR,1565.3262313903,1535.87563752152,0.6326730191018173,24,27,0
2017-10-08,2017,0,0,OAK,BAL,1525.30775637439,1459.98131601379,0.6792264810146664,17,30,0
2017-10-08,2017,0,0,LAR,SEA,1459.61094233446,1557.26180087171,0.4531494783523038,10,16,0
2017-10-08,2017,0,0,DAL,GB,1556.50538104245,1601.33370564085,0.5289968007621709,31,35,0
2017-10-08,2017,0,0,HOU,KC,1500.77631971046,1686.76287755364,0.3325987543098555,34,42,0
2017-10-09,2017,0,0,CHI,MIN,1382.32533241831,1501.53040580785,0.42261944208518876,17,20,0
2017-10-12,2017,0,0,CAR,PHI,1554.20393017303,1571.95947424006,0.567574251822694,23,28,0
2017-10-15,2017,0,0,NO,DET,1536.63426799006,1546.99793873879,0.5779862036936588,52,38,1
2017-10-15,2017,0,0,NYJ,NE,1470.43371564058,1659.70285559496,0.32841761687684334,17,24,0
