date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1,spread_prob
9/26/1920,1920,0,0,RII,STP,1503.947,1300,0.8246512009,48,0,1,
10/3/1920,1920,0,0,AKR,WHE,1503.42,1300,0.8242120973,43,0,1,
10/3/1920,1920,0,0,RCH,ABU,1503.42,1300,0.8242120973,10,0,1,
10/3/1920,1920,0,0,DAY,COL,1493.002,1504.908,0.5758191241,14,0,1,
10/3/1920,1920,0,0,RII,MUN,1516.108,1478.004,0.6441710901,45,0,1,
10/3/1920,1920,0,0,CHI,MUT,1368.333,1300,0.6829855715,20,0,1,
10/3/1920,1920,0,0,CBD,PTQ,1504.688,1300,0.8252671508,48,0,1,
10/3/1920,1920,0,0,BFF,WBU,1478.004,1300,0.8020003005,32,6,1,
10/10/1920,1920,0,0,CBD,TLM,1516.803,1300,0.8350967251,42,0,1,
10/10/1920,1920,0,0,BFF,ABU,1489.757,1292.486,0.8190246338,51,0,1,
10/10/1920,1920,0,0,DHR,CLP,1499.667,1300,0.8210600129,40,14,1,
10/10/1920,1920,0,0,AKR,COL,1515.278,1482.475,0.6371462417,37,0,1,
10/10/1920,1920,0,0,CHT,ARI,1300,1493.002,0.3236958101,0,0,0.5,
10/10/1920,1920,0,0,DAY,CTI,1515.434,1464.506,0.660906212,0,0,0.5,
10/10/1920,1920,0,0,RCH,FTP,1510.934,1300,0.8303914086,66,0,1,
10/10/1920,1920,0,0,RII,HAM,1542.135,1444.259,0.7186125157,26,0,1,
10/10/1920,1920,0,0,CHI,KEW,1386.533,1300,0.7052228214,25,7,1,
10/17/1920,1920,0,0,ARI,MUT,1487.625,1281.8,0.8262089539,33,3,1,
10/17/1920,1920,0,0,RII,CHI,1559.405,1402.774,0.7817358027,0,7,0,
10/17/1920,1920,0,0,RCH,UTI,1523.607,1300,0.8404198708,0,0,0.5,
10/17/1920,1920,0,0,CBD,CTI,1527.799,1469.414,0.6704588628,7,0,1,
10/17/1920,1920,0,0,AKR,CNC,1540.552,1300,0.8530716766,13,0,1,
10/17/1920,1920,0,0,FTW,COL,1300,1457.2,0.3703429439,14,0,1,
10/17/1920,1920,0,0,CHT,DHR,1305.377,1510.196,0.3089862675,12,0,1,
10/17/1920,1920,0,0,DAY,HAM,1510.527,1426.99,0.7016249406,44,0,1,
10/17/1920,1920,0,0,BFF,MCK,1502.536,1300,0.8234735946,28,7,1,
10/24/1920,1920,0,0,DHR,COL,1472.342,1421.606,0.6606584733,6,0,1,
10/24/1920,1920,0,0,RCH,SYR,1513.225,1300,0.8322407497,21,7,1,
10/24/1920,1920,0,0,BFF,TLM,1512.265,1289.004,0.8401525694,38,0,1,
10/24/1920,1920,0,0,AKR,CTI,1547.362,1456.436,0.7104523923,7,0,1,
10/24/1920,1920,0,0,DAY,CBD,1531.807,1540.777,0.5799418308,20,20,0.5,
10/24/1920,1920,0,0,CHT,CHI,1343.231,1438.927,0.4559394872,0,10,0,
10/24/1920,1920,0,0,RII,ARI,1523.251,1498.252,0.626697735,7,0,1,
10/31/1920,1920,0,0,DAY,CNC,1529.368,1293.191,0.8498868878,23,7,1,
10/31/1920,1920,0,0,BFF,RCH,1522.621,1521.291,0.5943134781,17,6,1,
10/31/1920,1920,0,0,LOG,HAM,1300,1405.71,0.4416802562,9,14,0,
10/31/1920,1920,0,0,ARI,DHR,1483.337,1484.888,0.5903087321,21,0,1,
10/31/1920,1920,0,0,RCK,CHI,1300,1460.492,0.3659349099,0,29,0,
10/31/1920,1920,0,0,CTI,COL,1445.191,1409.059,0.6415648661,7,0,1,
10/31/1920,1920,0,0,CBD,AKR,1543.215,1558.607,0.5709104192,0,10,0,
10/31/1920,1920,0,0,RII,CHT,1538.166,1321.666,0.8348563895,20,7,1,
11/7/1920,1920,0,0,CTI,CBD,1459.443,1515.204,0.5132928567,0,18,0,
11/7/1920,1920,0,0,RCH,UTI,1501.719,1310.382,0.8139062165,27,7,1,
11/7/1920,1920,0,0,RII,CHI,1545.894,1484.349,0.6744653898,0,0,0.5,
11/7/1920,1920,0,0,CHT,ARI,1313.938,1507.955,0.3224180406,3,6,0,
11/7/1920,1920,0,0,BFF,ATN,1542.193,1300,0.8542517419,35,0,1,
11/7/1920,1920,0,0,PUL,HAM,1300,1421.25,0.4197496884,13,14,0,
11/7/1920,1920,0,0,ZAN,COL,1300,1394.807,0.4572092099,0,10,0,
11/11/1920,1920,0,0,CHL,CHI,1300,1489.67,0.3279088696,0,20,0,
11/11/1920,1920,0,0,THO,RII,1300,1540.573,0.266846906,7,7,0.5,
11/14/1920,1920,0,0,MNM,CHI,1300,1508.566,0.3043999635,0,3,0,
11/14/1920,1920,0,0,CBD,CHT,1545.558,1305.494,0.8527192268,21,0,1,
11/14/1920,1920,0,0,ARI,CNC,1516.399,1285.709,0.8458125203,20,0,1,
11/14/1920,1920,0,0,CTI,AKR,1429.088,1586.618,0.3699000796,7,7,0.5,
11/14/1920,1920,0,0,RII,DAY,1533.462,1536.85,0.587748899,0,21,0,
11/14/1920,1920,0,0,FTW,DHR,1335.595,1460.271,0.414954033,0,0,0.5,
11/14/1920,1920,0,0,GAR,HAM,1300,1426.924,0.4118159947,7,6,1,
11/14/1920,1920,0,0,BFF,COL,1551.359,1416.441,0.7596607557,43,7,1,
11/14/1920,1920,0,0,RCH,ATN,1511.868,1290.834,0.8384234232,0,6,0,
11/21/1920,1920,0,0,ZAN,COL,1278.366,1400.53,0.4184687645,0,0,0.5,
11/21/1920,1920,0,0,CHI,HAM,1516.489,1418.534,0.718704463,28,7,1,
11/21/1920,1920,0,0,CTI,TLM,1433.056,1278.649,0.7795435212,14,0,1,
11/21/1920,1920,0,0,BFF,CBD,1567.27,1553.555,0.6113807768,0,3,0,
11/21/1920,1920,0,0,ARI,LAN,1524.675,1300,0.8412426679,14,0,1,
11/21/1920,1920,0,0,RCH,ROS,1474.362,1300,0.7986500511,16,0,1,
11/21/1920,1920,0,0,AKR,DAY,1582.65,1574.232,0.6041119313,13,0,1,
11/25/1920,1920,0,0,ELY,COL,1300,1398.043,0.4525901556,0,0,0.5,
11/25/1920,1920,0,0,DAY,DHR,1554.012,1457.677,0.7168153088,28,0,1,
11/25/1920,1920,0,0,CHB,HAM,1300,1402.343,0.4464650955,27,0,1,
11/25/1920,1920,0,0,RCH,ATN,1484.651,1328.34,0.7814213368,3,14,0,
11/25/1920,1920,0,0,AKR,CBD,1602.871,1571.135,0.6357250407,7,0,1,
11/25/1920,1920,0,0,CHT,CHI,1297.498,1532.679,0.2729631054,0,6,0,
11/28/1920,1920,0,0,ROS,RCH,1289.71,1441.473,0.3776704052,6,7,0,
11/28/1920,1920,0,0,RII,WJA,1496.08,1300,0.8180061992,48,7,1,
11/28/1920,1920,0,0,DHR,LAN,1439.909,1292.402,0.7726417686,0,0,0.5,
11/28/1920,1920,0,0,BFF,CTI,1549.69,1443.913,0.7277172311,7,0,1,
11/28/1920,1920,0,0,ARI,CHI,1532.273,1542.54,0.5781219338,7,6,1,
11/28/1920,1920,0,0,DAY,AKR,1571.78,1617.382,0.5278869956,0,14,0,
11/28/1920,1920,0,0,CHT,THO,1287.638,1307.111,0.5651461761,27,0,1,
12/4/1920,1920,0,0,BFF,CBD,1560.198,1556.623,0.5974255036,7,3,1,
12/5/1920,1920,0,0,BFF,AKR,1572.764,1646.228,0.4878217339,0,0,0.5,
12/5/1920,1920,0,0,DHR,DTM,1431.594,1300,0.7561499165,7,7,0.5,
12/5/1920,1920,0,0,COL,CWP,1396.597,1300,0.7171213585,24,0,1,
12/5/1920,1920,0,0,ROS,RCH,1284.673,1446.51,0.3641403294,0,0,0.5,
12/5/1920,1920,0,0,ARI,CHI,1537.98,1536.833,0.594059465,0,10,0,
12/5/1920,1920,0,0,WGC,CBD,1300,1544.056,0.2629427597,0,0,0.5,
12/11/1920,1920,0,0,UAP,CBD,1300,1536.826,0.271087912,13,7,1,
12/12/1920,1920,0,0,CHI,AKR,1566.206,1645.856,0.4789294414,0,0,0.5,
12/18/1920,1920,0,0,RIC,CBD,1300,1506.055,0.3074691879,0,39,0,
12/19/1920,1920,0,0,CST,ARI,1300,1508.607,0.3043499919,14,14,0.5,
9/25/1921,1921,0,0,AKR,COL,1598.476,1444.042,0.7795702306,14,0,1,
10/2/1921,1921,0,0,AKR,CCL,1609.332,1502.63,0.7287710184,41,0,1,
10/2/1921,1921,0,0,ECG,LOU,1300,1413.889,0.4301037896,21,0,1,
10/2/1921,1921,0,0,ARI,MNN,1503.427,1504.688,0.5907123999,20,0,1,
10/2/1921,1921,0,0,BFF,HAM,1550.424,1411.544,0.7638000994,17,0,1,
10/2/1921,1921,0,0,RII,DTI,1507.161,1300,0.8273104657,0,0,0.5,
10/2/1921,1921,0,0,DAY,COL,1530.29,1433.186,0.7177130306,42,13,1,
10/9/1921,1921,0,0,ECG,MUN,1336.032,1469.651,0.4025135809,14,0,1,
10/9/1921,1921,0,0,CBD,HAM,1519.915,1399.048,0.7445848318,7,7,0.5,
10/9/1921,1921,0,0,DTI,DAY,1309.982,1548.174,0.269536924,10,7,1,
10/9/1921,1921,0,0,BFF,COL,1562.92,1415.301,0.7727550051,38,0,1,
10/9/1921,1921,0,0,ARI,AKR,1527.647,1628.139,0.449099839,0,23,0,
10/10/1921,1921,0,0,CHI,RII,1546.233,1497.179,0.6584844289,14,10,1,
10/16/1921,1921,0,0,CHI,RCH,1556.684,1463.244,0.7134202816,16,13,1,
10/16/1921,1921,0,0,ECG,HAM,1369.434,1406.508,0.5401024206,0,3,0,
10/16/1921,1921,0,0,CTI,COL,1457.27,1400.118,0.668888773,35,9,1,
10/16/1921,1921,0,0,MUN,CCL,1436.249,1483.823,0.525057022,0,14,0,
10/16/1921,1921,0,0,DAY,CBD,1526.191,1512.456,0.6114081305,14,14,0.5,
10/16/1921,1921,0,0,DTI,AKR,1331.966,1656.231,0.1835543839,0,20,0,
10/16/1921,1921,0,0,ARI,RII,1499.555,1486.728,0.6101655674,7,14,0,
10/16/1921,1921,0,0,BFF,NG1,1578.103,1300,0.8781535301,55,0,1,
10/23/1921,1921,0,0,DTI,RII,1321.967,1513.034,0.326139044,0,14,0,
10/23/1921,1921,0,0,BFF,RCH,1586.589,1455.832,0.7552604135,28,0,1,
10/23/1921,1921,0,0,CBD,AKR,1515.853,1666.229,0.3795488034,0,3,0,
10/23/1921,1921,0,0,CTI,CCL,1477.948,1512.487,0.5437249268,28,0,1,
10/23/1921,1921,0,0,ARI,COL,1473.248,1379.44,0.7138531919,17,6,1,
10/23/1921,1921,0,0,CHI,DAY,1564.096,1522.793,0.6483807662,7,0,1,
10/23/1921,1921,0,0,GB,MNN,1413.889,1480.468,0.497727652,7,6,1,
10/30/1921,1921,0,0,GB,RII,1420.857,1529.741,0.4371795672,3,13,0,
10/30/1921,1921,0,0,AKR,RCH,1676.36,1440.697,0.8495090129,19,0,1,
10/30/1921,1921,0,0,BFF,DTI,1601.725,1305.261,0.8890184527,21,0,1,
10/30/1921,1921,0,0,DAY,CTI,1508.844,1508.256,0.5932832341,3,2,1,
10/30/1921,1921,0,0,MNN,COL,1473.5,1366.177,0.7294770416,28,0,1,
11/6/1921,1921,0,0,CHI,DTI,1578.045,1299.368,0.8785066387,20,9,1,
11/6/1921,1921,0,0,CBD,DAY,1505.723,1514.319,0.5804662109,14,0,1,
11/6/1921,1921,0,0,BFF,CTI,1607.617,1502.781,0.7266425908,10,6,1,
11/6/1921,1921,0,0,RCH,TON,1432.764,1478.004,0.5284063045,45,0,1,
11/6/1921,1921,0,0,COL,AKR,1349.282,1684.292,0.1744657216,0,21,0,
11/6/1921,1921,0,0,RII,MNN,1550.297,1490.395,0.6723853863,14,3,1,
11/6/1921,1921,0,0,ARI,HAM,1486.511,1421.675,0.6786110569,7,0,1,
11/6/1921,1921,0,0,GB,ECG,1400.301,1354.267,0.6545642499,43,6,1,
11/13/1921,1921,0,0,GB,HAM,1424.224,1409.054,0.6133689181,14,7,1,
11/13/1921,1921,0,0,BFF,AKR,1615.786,1693.899,0.4811378314,0,0,0.5,
11/13/1921,1921,0,0,CTI,CBD,1494.613,1527.878,0.5455437476,0,7,0,
11/13/1921,1921,0,0,CHI,RII,1583.267,1565.704,0.6166305306,3,0,1,
11/13/1921,1921,0,0,DAY,DTI,1492.164,1294.146,0.8196611312,27,0,1,
11/20/1921,1921,0,0,ARI,GB,1499.133,1439.739,0.6717408912,3,3,0.5,
11/20/1921,1921,0,0,CHI,CTI,1593.512,1471.592,0.7457358978,22,7,1,
11/20/1921,1921,0,0,BFF,CBD,1616.361,1550.898,0.6793977308,7,7,0.5,
11/20/1921,1921,0,0,DAY,AKR,1502.9,1693.323,0.3269543003,3,0,1,
11/20/1921,1921,0,0,RCH,COL,1468.554,1339.675,0.7532566424,27,13,1,
11/24/1921,1921,0,0,AKR,CBD,1673.534,1556.37,0.7405098665,0,14,0,
11/24/1921,1921,0,0,CHI,BFF,1606.507,1610.89,0.5863603872,6,7,0,
11/27/1921,1921,0,0,ECG,CCL,1330.343,1482.179,0.3775716433,48,0,1,
11/27/1921,1921,0,0,SEN,CBD,1300,1600.097,0.2053269608,0,15,0,
11/27/1921,1921,0,0,CHI,GB,1598.148,1444.976,0.7783193335,20,0,1,
11/27/1921,1921,0,0,BFF,DAY,1619.249,1522.689,0.7170781499,7,0,1,
12/3/1921,1921,0,0,BFF,AKR,1630.21,1629.807,0.5930262391,14,0,1,
12/3/1921,1921,0,0,NG1,CTI,1291.514,1458.597,0.3571772231,0,17,0,
12/4/1921,1921,0,0,LOU,COL,1377.857,1327.393,0.6603073596,0,6,0,
12/4/1921,1921,0,0,CHI,BFF,1610.429,1651.616,0.5342161002,10,7,1,
12/4/1921,1921,0,0,ARI,AKR,1493.895,1608.401,0.4292334241,0,7,0,
12/11/1921,1921,0,0,SEN,CTI,1289.713,1478.329,0.3292474054,7,0,1,
12/11/1921,1921,0,0,CHI,CBD,1623.205,1610.384,0.6101573518,10,0,1,
12/18/1921,1921,0,0,CHI,ARI,1641.262,1476.436,0.7896778715,0,0,0.5,
12/18/1921,1921,0,0,SEN,CBD,1319.27,1592.326,0.2318905736,14,28,0,
10/1/1922,1922,0,0,AKR,COL,1585.573,1404.677,0.8046305993,36,0,1,
10/1/1922,1922,0,0,RAC,CHI,1493.002,1589.952,0.454149427,0,6,0,
10/1/1922,1922,0,0,TOL,ECG,1504.938,1422.188,0.7006756611,15,0,1,
10/1/1922,1922,0,0,RII,GB,1538.64,1456.797,0.6995794951,19,14,1,
10/1/1922,1922,0,0,CBD,LOU,1570.867,1402.157,0.7933672072,38,0,1,
10/1/1922,1922,0,0,ARI,MIL,1491.847,1300,0.8143504709,3,0,1,
10/1/1922,1922,0,0,DAY,OOR,1509.485,1300,0.8292133938,36,0,1,
10/1/1922,1922,0,0,BFF,HAM,1594.227,1430.693,0.7884399651,7,0,1,
